Name,Wikidata ID,Wikidata Link,Wikidata Description,OSM Relation ID,OSM Relation Link,Country,Same as Administative Boundary,Shapefile Feature Name
Ross and Cromarty,Q1586842,Q1586842,area in the Highlands and Islands of Scotland,,,Scotland,,Ross and Cromarty
"Roxburgh, Ettrick and Lauderdale",Q7372390,Q7372390,lieutenancy area of Scotland,,,Scotland,,"Roxburgh, Ettrick and Lauderdale"
Rutland,Q23107,Q23107,county in England,2703126,2703126,England,,Rutland
Shetland,Q47134,Q47134,subarctic archipelago of Scotland that lies north-east of mainland Britain,2235077,2235077,Scotland,,Shetland
Shropshire,Q23103,Q23103,ceremonial county in the United Kingdom,57511,57511,England,,Shropshire
Somerset,Q23157,Q23157,ceremonial county of England (use Q21694741 for administrative non-metropolitan county),3125930,3125930,England,,Somerset
South Glamorgan,Q1152204,Q1152204,preserved county of Wales,,,Wales,,South Glamorgan
South Yorkshire,Q23095,Q23095,county of England,88078,88078,England,,South Yorkshire
Staffordshire,Q23105,Q23105,ceremonial county in England (use Q21694786 for administrative non-metropolitan county),57515,57515,England,,Staffordshire
Stirling and Falkirk,Q7617588,Q7617588,lieutenancy area of Scotland,,,Scotland,,Stirling and Falkirk
Suffolk,Q23111,Q23111,county of England,28595,28595,England,★,Suffolk
Surrey,Q23276,Q23276,county of England,5700081,5700081,England,,Surrey
Sutherland,Q1061313,Q1061313,"Historic county, lieutenancy area and registration county of Scotland",,,Scotland,,Sutherland
Tweeddale,Q3542517,Q3542517,"Scottish lieutenancy area and former local government district, part of Scottish Borders region",,,Scotland,,Tweeddale
Tyne and Wear,Q23080,Q23080,county in England,154376,154376,England,,Tyne & Wear
Warwickshire,Q23140,Q23140,"county in England, UK",57516,57516,England,★,Warwickshire
West Glamorgan,Q166803,Q166803,preserved county and former administrative county of Wales,,,Wales,,West Glamorgan
West Lothian,Q204940,Q204940,county of Scotland,,,Scotland,,West Lothian
West Midlands,Q23124,Q23124,metropolitan county in England,57517,57517,England,,West Midlands
West Sussex,Q23287,Q23287,county in England,3336390,3336390,England,★,West Sussex
West Yorkshire,Q23083,Q23083,metropolitan and ceremonial county in England,88079,88079,England,,West Yorkshire
Wigtownshire,Q550606,Q550606,registration county in Galloway,,,Scotland,,Wigtown
Wiltshire,Q23183,Q23183,ceremonial county of England (use Q21694746 for administrative unitary authority),2694420,2694420,England,,Wiltshire
Worcestershire,Q23135,Q23135,non-metropolitan county in the West Midlands of England,57581,57581,England,★,Worcestershire
